,Location_code,All_location,Type_of_meat,Usage,Year,Unit,Magnitude,Value,Country,Continent,Economic_Area,Water_liters_for_meat_prod_per_kilos,Water_Liter,Production_value,Consumption_value,Human_consumption_per_capita_value
203880,AUS,Australia,Beef and veal,Human consumption per capita,2018,Kilograms per capita,Units,32.139,Australia,Not a continent,Not an Economic Area,15.415,495.422685,,,32.139
203881,AUS,Australia,Beef and veal,Human consumption per capita,2019,Kilograms per capita,Units,30.28,Australia,Not a continent,Not an Economic Area,15.415,466.76619999999997,,,30.28
203882,AUS,Australia,Beef and veal,Human consumption per capita,2020,Kilograms per capita,Units,28.019,Australia,Not a continent,Not an Economic Area,15.415,431.91288499999996,,,28.019
203883,AUS,Australia,Beef and veal,Human consumption per capita,2021,Kilograms per capita,Units,28.247,Australia,Not a continent,Not an Economic Area,15.415,435.427505,,,28.247
203884,AUS,Australia,Beef and veal,Human consumption per capita,2022,Kilograms per capita,Units,28.164,Australia,Not a continent,Not an Economic Area,15.415,434.14806,,,28.164
204057,CAN,Canada,Beef and veal,Production,1990,Tonnes,Hundreds,11286.17,Canada,Not a continent,Not an Economic Area,15.415,,11286.17,,
204058,CAN,Canada,Beef and veal,Production,1991,Tonnes,Hundreds,10944.390000000001,Canada,Not a continent,Not an Economic Area,15.415,,10944.390000000001,,
204059,CAN,Canada,Beef and veal,Production,1992,Tonnes,Hundreds,12436.189999999999,Canada,Not a continent,Not an Economic Area,15.415,,12436.189999999999,,
204060,CAN,Canada,Beef and veal,Production,1993,Tonnes,Hundreds,11878.77,Canada,Not a continent,Not an Economic Area,15.415,,11878.77,,
204061,CAN,Canada,Beef and veal,Production,1994,Tonnes,Hundreds,11712.72,Canada,Not a continent,Not an Economic Area,15.415,,11712.72,,
204062,CAN,Canada,Beef and veal,Production,1995,Tonnes,Hundreds,12496.54,Canada,Not a continent,Not an Economic Area,15.415,,12496.54,,
204063,CAN,Canada,Beef and veal,Production,1996,Tonnes,Hundreds,14476.0,Canada,Not a continent,Not an Economic Area,15.415,,14476.0,,
204064,CAN,Canada,Beef and veal,Production,1997,Tonnes,Hundreds,14908.88,Canada,Not a continent,Not an Economic Area,15.415,,14908.88,,
204065,CAN,Canada,Beef and veal,Production,1998,Tonnes,Hundreds,15714.079999999998,Canada,Not a continent,Not an Economic Area,15.415,,15714.079999999998,,
204066,CAN,Canada,Beef and veal,Production,1999,Tonnes,Hundreds,15061.91,Canada,Not a continent,Not an Economic Area,15.415,,15061.91,,
204067,CAN,Canada,Beef and veal,Production,2000,Tonnes,Hundreds,14777.170000000002,Canada,Not a continent,Not an Economic Area,15.415,,14777.170000000002,,
204068,CAN,Canada,Beef and veal,Production,2001,Tonnes,Hundreds,15922.650000000001,Canada,Not a continent,Not an Economic Area,15.415,,15922.650000000001,,
204069,CAN,Canada,Beef and veal,Production,2002,Tonnes,Hundreds,17695.63,Canada,Not a continent,Not an Economic Area,15.415,,17695.63,,
204070,CAN,Canada,Beef and veal,Production,2003,Tonnes,Hundreds,13518.45,Canada,Not a continent,Not an Economic Area,15.415,,13518.45,,
204071,CAN,Canada,Beef and veal,Production,2004,Tonnes,Hundreds,14960.94,Canada,Not a continent,Not an Economic Area,15.415,,14960.94,,
204072,CAN,Canada,Beef and veal,Production,2005,Tonnes,Hundreds,16315.99,Canada,Not a continent,Not an Economic Area,15.415,,16315.99,,
204073,CAN,Canada,Beef and veal,Production,2006,Tonnes,Hundreds,16408.47,Canada,Not a continent,Not an Economic Area,15.415,,16408.47,,
204074,CAN,Canada,Beef and veal,Production,2007,Tonnes,Hundreds,16779.9,Canada,Not a continent,Not an Economic Area,15.415,,16779.9,,
204075,CAN,Canada,Beef and veal,Production,2008,Tonnes,Hundreds,17543.76,Canada,Not a continent,Not an Economic Area,15.415,,17543.76,,
204076,CAN,Canada,Beef and veal,Production,2009,Tonnes,Hundreds,15559.06,Canada,Not a continent,Not an Economic Area,15.415,,15559.06,,
204077,CAN,Canada,Beef and veal,Production,2010,Tonnes,Hundreds,16149.580000000002,Canada,Not a continent,Not an Economic Area,15.415,,16149.580000000002,,
204078,CAN,Canada,Beef and veal,Production,2011,Tonnes,Hundreds,13553.869999999999,Canada,Not a continent,Not an Economic Area,15.415,,13553.869999999999,,
204079,CAN,Canada,Beef and veal,Production,2012,Tonnes,Hundreds,13136.12,Canada,Not a continent,Not an Economic Area,15.415,,13136.12,,
204080,CAN,Canada,Beef and veal,Production,2013,Tonnes,Hundreds,13560.9,Canada,Not a continent,Not an Economic Area,15.415,,13560.9,,
204081,CAN,Canada,Beef and veal,Production,2014,Tonnes,Hundreds,14361.130000000001,Canada,Not a continent,Not an Economic Area,15.415,,14361.130000000001,,
204082,CAN,Canada,Beef and veal,Production,2015,Tonnes,Hundreds,12767.29,Canada,Not a continent,Not an Economic Area,15.415,,12767.29,,
204083,CAN,Canada,Beef and veal,Production,2016,Tonnes,Hundreds,13894.42,Canada,Not a continent,Not an Economic Area,15.415,,13894.42,,
204084,CAN,Canada,Beef and veal,Production,2017,Tonnes,Hundreds,13858.199999999999,Canada,Not a continent,Not an Economic Area,15.415,,13858.199999999999,,
204085,CAN,Canada,Beef and veal,Production,2018,Tonnes,Hundreds,14268.21,Canada,Not a continent,Not an Economic Area,15.415,,14268.21,,
204086,CAN,Canada,Beef and veal,Production,2019,Tonnes,Hundreds,15293.67,Canada,Not a continent,Not an Economic Area,15.415,,15293.67,,
204087,CAN,Canada,Beef and veal,Production,2020,Tonnes,Hundreds,14597.8,Canada,Not a continent,Not an Economic Area,15.415,,14597.8,,
204088,CAN,Canada,Beef and veal,Production,2021,Tonnes,Hundreds,15019.03,Canada,Not a continent,Not an Economic Area,15.415,,15019.03,,
204089,CAN,Canada,Beef and veal,Production,2022,Tonnes,Hundreds,15284.91,Canada,Not a continent,Not an Economic Area,15.415,,15284.91,,
204139,CAN,Canada,Beef and veal,Consumption,1990,Tonnes,Hundreds,9836.8,Canada,Not a continent,Not an Economic Area,15.415,,,9836.8,
204140,CAN,Canada,Beef and veal,Consumption,1991,Tonnes,Hundreds,9743.6,Canada,Not a continent,Not an Economic Area,15.415,,,9743.6,
204141,CAN,Canada,Beef and veal,Consumption,1992,Tonnes,Hundreds,9608.5,Canada,Not a continent,Not an Economic Area,15.415,,,9608.5,
204142,CAN,Canada,Beef and veal,Consumption,1993,Tonnes,Hundreds,9300.5,Canada,Not a continent,Not an Economic Area,15.415,,,9300.5,
204143,CAN,Canada,Beef and veal,Consumption,1994,Tonnes,Hundreds,9576.0,Canada,Not a continent,Not an Economic Area,15.415,,,9576.0,
204144,CAN,Canada,Beef and veal,Consumption,1995,Tonnes,Hundreds,9711.2,Canada,Not a continent,Not an Economic Area,15.415,,,9711.2,
204145,CAN,Canada,Beef and veal,Consumption,1996,Tonnes,Hundreds,9699.3,Canada,Not a continent,Not an Economic Area,15.415,,,9699.3,
204146,CAN,Canada,Beef and veal,Consumption,1997,Tonnes,Hundreds,9817.7,Canada,Not a continent,Not an Economic Area,15.415,,,9817.7,
204147,CAN,Canada,Beef and veal,Consumption,1998,Tonnes,Hundreds,10027.0,Canada,Not a continent,Not an Economic Area,15.415,,,10027.0,
204148,CAN,Canada,Beef and veal,Consumption,1999,Tonnes,Hundreds,10302.8,Canada,Not a continent,Not an Economic Area,15.415,,,10302.8,
204149,CAN,Canada,Beef and veal,Consumption,2000,Tonnes,Hundreds,10229.9,Canada,Not a continent,Not an Economic Area,15.415,,,10229.9,
204150,CAN,Canada,Beef and veal,Consumption,2001,Tonnes,Hundreds,9925.599999999999,Canada,Not a continent,Not an Economic Area,15.415,,,9925.599999999999,
204151,CAN,Canada,Beef and veal,Consumption,2002,Tonnes,Hundreds,9983.7,Canada,Not a continent,Not an Economic Area,15.415,,,9983.7,
204152,CAN,Canada,Beef and veal,Consumption,2003,Tonnes,Hundreds,10640.9,Canada,Not a continent,Not an Economic Area,15.415,,,10640.9,
204153,CAN,Canada,Beef and veal,Consumption,2004,Tonnes,Hundreds,10322.2,Canada,Not a continent,Not an Economic Area,15.415,,,10322.2,
204154,CAN,Canada,Beef and veal,Consumption,2005,Tonnes,Hundreds,10106.130000000001,Canada,Not a continent,Not an Economic Area,15.415,,,10106.130000000001,
204155,CAN,Canada,Beef and veal,Consumption,2006,Tonnes,Hundreds,10091.720000000001,Canada,Not a continent,Not an Economic Area,15.415,,,10091.720000000001,
204156,CAN,Canada,Beef and veal,Consumption,2007,Tonnes,Hundreds,10418.130000000001,Canada,Not a continent,Not an Economic Area,15.415,,,10418.130000000001,
204157,CAN,Canada,Beef and veal,Consumption,2008,Tonnes,Hundreds,10226.74,Canada,Not a continent,Not an Economic Area,15.415,,,10226.74,
204158,CAN,Canada,Beef and veal,Consumption,2009,Tonnes,Hundreds,9850.9,Canada,Not a continent,Not an Economic Area,15.415,,,9850.9,
204159,CAN,Canada,Beef and veal,Consumption,2010,Tonnes,Hundreds,9905.3,Canada,Not a continent,Not an Economic Area,15.415,,,9905.3,
204160,CAN,Canada,Beef and veal,Consumption,2011,Tonnes,Hundreds,9771.6,Canada,Not a continent,Not an Economic Area,15.415,,,9771.6,
204161,CAN,Canada,Beef and veal,Consumption,2012,Tonnes,Hundreds,9983.9,Canada,Not a continent,Not an Economic Area,15.415,,,9983.9,
204162,CAN,Canada,Beef and veal,Consumption,2013,Tonnes,Hundreds,9990.2,Canada,Not a continent,Not an Economic Area,15.415,,,9990.2,
204163,CAN,Canada,Beef and veal,Consumption,2014,Tonnes,Hundreds,9770.599999999999,Canada,Not a continent,Not an Economic Area,15.415,,,9770.599999999999,
204164,CAN,Canada,Beef and veal,Consumption,2015,Tonnes,Hundreds,9075.1,Canada,Not a continent,Not an Economic Area,15.415,,,9075.1,
204165,CAN,Canada,Beef and veal,Consumption,2016,Tonnes,Hundreds,9520.0,Canada,Not a continent,Not an Economic Area,15.415,,,9520.0,
204166,CAN,Canada,Beef and veal,Consumption,2017,Tonnes,Hundreds,9589.0,Canada,Not a continent,Not an Economic Area,15.415,,,9589.0,
204167,CAN,Canada,Beef and veal,Consumption,2018,Tonnes,Hundreds,9769.9,Canada,Not a continent,Not an Economic Area,15.415,,,9769.9,
204168,CAN,Canada,Beef and veal,Consumption,2019,Tonnes,Hundreds,9755.779999999999,Canada,Not a continent,Not an Economic Area,15.415,,,9755.779999999999,
204169,CAN,Canada,Beef and veal,Consumption,2020,Tonnes,Hundreds,9430.4,Canada,Not a continent,Not an Economic Area,15.415,,,9430.4,
204170,CAN,Canada,Beef and veal,Consumption,2021,Tonnes,Hundreds,9700.09,Canada,Not a continent,Not an Economic Area,15.415,,,9700.09,
204171,CAN,Canada,Beef and veal,Consumption,2022,Tonnes,Hundreds,9797.21,Canada,Not a continent,Not an Economic Area,15.415,,,9797.21,
204426,CAN,Canada,Beef and veal,Human consumption per capita,1990,Kilograms per capita,Units,25.002,Canada,Not a continent,Not an Economic Area,15.415,385.40583,,,25.002
204427,CAN,Canada,Beef and veal,Human consumption per capita,1991,Kilograms per capita,Units,24.456,Canada,Not a continent,Not an Economic Area,15.415,376.98924,,,24.456
204428,CAN,Canada,Beef and veal,Human consumption per capita,1992,Kilograms per capita,Units,23.83,Canada,Not a continent,Not an Economic Area,15.415,367.33944999999994,,,23.83
204429,CAN,Canada,Beef and veal,Human consumption per capita,1993,Kilograms per capita,Units,22.805,Canada,Not a continent,Not an Economic Area,15.415,351.53907499999997,,,22.805
204430,CAN,Canada,Beef and veal,Human consumption per capita,1994,Kilograms per capita,Units,23.226,Canada,Not a continent,Not an Economic Area,15.415,358.02878999999996,,,23.226
204431,CAN,Canada,Beef and veal,Human consumption per capita,1995,Kilograms per capita,Units,23.309,Canada,Not a continent,Not an Economic Area,15.415,359.308235,,,23.309
204432,CAN,Canada,Beef and veal,Human consumption per capita,1996,Kilograms per capita,Units,23.048,Canada,Not a continent,Not an Economic Area,15.415,355.28491999999994,,,23.048
204433,CAN,Canada,Beef and veal,Human consumption per capita,1997,Kilograms per capita,Units,23.106,Canada,Not a continent,Not an Economic Area,15.415,356.17899,,,23.106
204434,CAN,Canada,Beef and veal,Human consumption per capita,1998,Kilograms per capita,Units,23.379,Canada,Not a continent,Not an Economic Area,15.415,360.387285,,,23.379
204435,CAN,Canada,Beef and veal,Human consumption per capita,1999,Kilograms per capita,Units,23.8,Canada,Not a continent,Not an Economic Area,15.415,366.877,,,23.8
204436,CAN,Canada,Beef and veal,Human consumption per capita,2000,Kilograms per capita,Units,23.411,Canada,Not a continent,Not an Economic Area,15.415,360.880565,,,23.411
204437,CAN,Canada,Beef and veal,Human consumption per capita,2001,Kilograms per capita,Units,22.5,Canada,Not a continent,Not an Economic Area,15.415,346.8375,,,22.5
204438,CAN,Canada,Beef and veal,Human consumption per capita,2002,Kilograms per capita,Units,22.415,Canada,Not a continent,Not an Economic Area,15.415,345.527225,,,22.415
204439,CAN,Canada,Beef and veal,Human consumption per capita,2003,Kilograms per capita,Units,23.655,Canada,Not a continent,Not an Economic Area,15.415,364.641825,,,23.655
204440,CAN,Canada,Beef and veal,Human consumption per capita,2004,Kilograms per capita,Units,22.711,Canada,Not a continent,Not an Economic Area,15.415,350.090065,,,22.711
204441,CAN,Canada,Beef and veal,Human consumption per capita,2005,Kilograms per capita,Units,21.994,Canada,Not a continent,Not an Economic Area,15.415,339.03751,,,21.994
204442,CAN,Canada,Beef and veal,Human consumption per capita,2006,Kilograms per capita,Units,21.711,Canada,Not a continent,Not an Economic Area,15.415,334.67506499999996,,,21.711
204443,CAN,Canada,Beef and veal,Human consumption per capita,2007,Kilograms per capita,Units,22.146,Canada,Not a continent,Not an Economic Area,15.415,341.38059,,,22.146
204444,CAN,Canada,Beef and veal,Human consumption per capita,2008,Kilograms per capita,Units,21.473,Canada,Not a continent,Not an Economic Area,15.415,331.00629499999997,,,21.473
204445,CAN,Canada,Beef and veal,Human consumption per capita,2009,Kilograms per capita,Units,20.434,Canada,Not a continent,Not an Economic Area,15.415,314.99011,,,20.434
204446,CAN,Canada,Beef and veal,Human consumption per capita,2010,Kilograms per capita,Units,20.305,Canada,Not a continent,Not an Economic Area,15.415,313.001575,,,20.305
204447,CAN,Canada,Beef and veal,Human consumption per capita,2011,Kilograms per capita,Units,19.804,Canada,Not a continent,Not an Economic Area,15.415,305.27865999999995,,,19.804
204448,CAN,Canada,Beef and veal,Human consumption per capita,2012,Kilograms per capita,Units,20.012,Canada,Not a continent,Not an Economic Area,15.415,308.48498,,,20.012
204449,CAN,Canada,Beef and veal,Human consumption per capita,2013,Kilograms per capita,Units,19.813,Canada,Not a continent,Not an Economic Area,15.415,305.41739499999994,,,19.813
204450,CAN,Canada,Beef and veal,Human consumption per capita,2014,Kilograms per capita,Units,19.177,Canada,Not a continent,Not an Economic Area,15.415,295.613455,,,19.177
204451,CAN,Canada,Beef and veal,Human consumption per capita,2015,Kilograms per capita,Units,17.633,Canada,Not a continent,Not an Economic Area,15.415,271.81269499999996,,,17.633
204452,CAN,Canada,Beef and veal,Human consumption per capita,2016,Kilograms per capita,Units,18.316,Canada,Not a continent,Not an Economic Area,15.415,282.34114,,,18.316
204453,CAN,Canada,Beef and veal,Human consumption per capita,2017,Kilograms per capita,Units,18.274,Canada,Not a continent,Not an Economic Area,15.415,281.69371,,,18.274
204454,CAN,Canada,Beef and veal,Human consumption per capita,2018,Kilograms per capita,Units,18.446,Canada,Not a continent,Not an Economic Area,15.415,284.34509,,,18.446
204455,CAN,Canada,Beef and veal,Human consumption per capita,2019,Kilograms per capita,Units,18.254,Canada,Not a continent,Not an Economic Area,15.415,281.38541,,,18.254
204456,CAN,Canada,Beef and veal,Human consumption per capita,2020,Kilograms per capita,Units,17.491,Canada,Not a continent,Not an Economic Area,15.415,269.623765,,,17.491
204457,CAN,Canada,Beef and veal,Human consumption per capita,2021,Kilograms per capita,Units,17.837,Canada,Not a continent,Not an Economic Area,15.415,274.957355,,,17.837
204458,CAN,Canada,Beef and veal,Human consumption per capita,2022,Kilograms per capita,Units,17.865,Canada,Not a continent,Not an Economic Area,15.415,275.38897499999996,,,17.865
204631,CHL,Chile,Beef and veal,Production,1990,Tonnes,Hundreds,2424.4700000000003,Chile,Not a continent,Not an Economic Area,15.415,,2424.4700000000003,,
204632,CHL,Chile,Beef and veal,Production,1991,Tonnes,Hundreds,2297.95,Chile,Not a continent,Not an Economic Area,15.415,,2297.95,,
204633,CHL,Chile,Beef and veal,Production,1992,Tonnes,Hundreds,2001.19,Chile,Not a continent,Not an Economic Area,15.415,,2001.19,,
204634,CHL,Chile,Beef and veal,Production,1993,Tonnes,Hundreds,2243.12,Chile,Not a continent,Not an Economic Area,15.415,,2243.12,,
204635,CHL,Chile,Beef and veal,Production,1994,Tonnes,Hundreds,2401.41,Chile,Not a continent,Not an Economic Area,15.415,,2401.41,,
204636,CHL,Chile,Beef and veal,Production,1995,Tonnes,Hundreds,2580.46,Chile,Not a continent,Not an Economic Area,15.415,,2580.46,,
204637,CHL,Chile,Beef and veal,Production,1996,Tonnes,Hundreds,2596.13,Chile,Not a continent,Not an Economic Area,15.415,,2596.13,,
204638,CHL,Chile,Beef and veal,Production,1997,Tonnes,Hundreds,2626.35,Chile,Not a continent,Not an Economic Area,15.415,,2626.35,,
204639,CHL,Chile,Beef and veal,Production,1998,Tonnes,Hundreds,2570.75,Chile,Not a continent,Not an Economic Area,15.415,,2570.75,,
204640,CHL,Chile,Beef and veal,Production,1999,Tonnes,Hundreds,2268.75,Chile,Not a continent,Not an Economic Area,15.415,,2268.75,,
204641,CHL,Chile,Beef and veal,Production,2000,Tonnes,Hundreds,2264.14,Chile,Not a continent,Not an Economic Area,15.415,,2264.14,,
204642,CHL,Chile,Beef and veal,Production,2001,Tonnes,Hundreds,2181.52,Chile,Not a continent,Not an Economic Area,15.415,,2181.52,,
204643,CHL,Chile,Beef and veal,Production,2002,Tonnes,Hundreds,2005.2600000000002,Chile,Not a continent,Not an Economic Area,15.415,,2005.2600000000002,,
204644,CHL,Chile,Beef and veal,Production,2003,Tonnes,Hundreds,1917.83,Chile,Not a continent,Not an Economic Area,15.415,,1917.83,,
204645,CHL,Chile,Beef and veal,Production,2004,Tonnes,Hundreds,2083.44,Chile,Not a continent,Not an Economic Area,15.415,,2083.44,,
